step,submap,source_id,target_id,pose_status,fusion_status,reasons,shared_median_error,shared_p90_error,icp_fitness,icp_rmse,icp_translation_delta,icp_rotation_delta_deg,accepted_ratio,duplicate_ratio,conflict_ratio,accepted_points,duplicate_points,conflict_points,accepted_extent_x,accepted_extent_y,accepted_extent_z,accepted_extent_max,accepted_xz_area,accepted_xz_density,accepted_linear_ratio,accepted_planar_ratio,accepted_thin_ratio,severe_scale_shadow,early_sparse_scale_shadow,scale_shadow_gate_v2
1,submap_000,batch_002_window_009-013,batch_001_baseline_004-012,needs_review,needs_review,"shared_median_error_too_high, shared_p90_error_too_high, fusion_conflict_ratio_too_high",0.11231840741620602,0.4204944233921451,0.43275689581249105,0.03526917999661503,0.07571006797214765,0.4848694868329416,0.16169166666666668,0.35588333333333333,0.482425,19403,42706,57891,2.855986765137702,1.490195553344002,2.895017453557746,2.895017453557746,8.268131532203576,2346.7212543036094,0.7487524871987543,0.22618784719008578,0.02505966561115992,False,False,False
2,submap_000,batch_003_window_010-014,batch_002_window_009-013,accepted,needs_review,fusion_conflict_ratio_too_high,0.009171545428300202,0.01916417616516846,0.3999011369253584,0.034887486933540456,0.037865112839595885,0.08362510358751946,0.15706666666666666,0.21566666666666667,0.6272666666666666,18848,25880,75272,3.023891882605483,1.1171301565985932,3.155850316905086,3.155850316905086,9.542950156007231,1975.0705695696518,0.38055528212961,0.6072951920467996,0.012149525823590357,False,False,False
3,submap_000,batch_004_window_011-015,batch_003_window_010-014,accepted,needs_review,fusion_conflict_ratio_too_high,0.010219422407926428,0.016417413198783388,0.4482904178978472,0.03684323885765659,0.013443759801017419,0.05660064770292597,0.12681666666666666,0.16948333333333335,0.7037,15218,20338,84444,3.598852198143868,1.1568783058976309,2.612624684107854,3.598852198143868,9.40245008732648,1618.5143083622718,0.8790379150671792,0.10887285316461243,0.012089231768208399,False,False,False
4,submap_000,batch_005_window_012-016,batch_004_window_011-015,needs_review,needs_review,"shared_p90_error_too_high, fusion_conflict_ratio_too_high",0.04363666519053009,0.15218485971260515,0.41159609120521173,0.0390145705958799,0.0876927419142686,0.15509494070375224,0.13918333333333333,0.09054166666666667,0.770275,16702,10865,92433,1.5168181533934302,0.04310153839958314,1.43096603995368,1.5168181533934302,2.1705152662912504,7694.947029116562,0.8077637954961163,0.19222373951260266,1.2464991281037032e-05,False,False,False
5,submap_000,batch_006_window_013-017,batch_005_window_012-016,accepted,needs_review,fusion_conflict_ratio_too_high,0.016063553725662046,0.028719405100800253,0.36534229120815476,0.04069911095982236,0.013414722081138171,0.3510886750211101,0.17601666666666665,0.15564166666666668,0.6683416666666666,21122,18677,80201,3.1145126573816406,1.1207798812000267,2.6080493044645214,3.1145126573816406,8.122802569830137,2600.3340372264765,0.9168934719262983,0.0718020605551351,0.011304467518566527,False,False,False
6,submap_000,batch_007_window_014-018,batch_006_window_013-017,accepted,needs_review,fusion_conflict_ratio_too_high,0.008114476561881797,0.02618233552946058,0.4158927941695075,0.03838797526942371,0.07338252173036232,0.4032986240089521,0.0013,0.2779583333333333,0.7207416666666666,156,33355,86489,1.7215311965437734,1.112865020307164,1.876283569946934,1.876283569946934,3.230080699226168,48.29600698130328,0.9133227612183674,0.047655138784083825,0.03902209999754866,False,False,False
26,submap_002,batch_027_window_034-038,batch_026_window_033-037,needs_review,needs_review,"icp_fitness_too_low, fusion_conflict_ratio_too_high",0.009915651660817187,0.025600956604254904,0.3119318725480815,0.04052544182210807,0.13517047501610321,1.5717911460062848,0.22226666666666667,0.15518333333333334,0.62255,26672,18622,74706,6.127922697584788,2.334904072324262,4.771118276398995,6.127922697584788,29.237043978807012,912.2673283705997,0.587917951511347,0.3894004241339621,0.022681624354690923,False,False,False
37,submap_003,batch_038_window_045-049,batch_037_window_044-048,needs_review,needs_review,"icp_fitness_too_low, fusion_conflict_ratio_too_high",0.011515486138872428,0.021874388104313157,0.0,0.0,2.7755575615628914e-17,0.0,0.008416666666666666,0.0,0.9915833333333334,1010,0,118990,0.7017445691887718,0.7272152917320396,0.8160420058710165,0.8160420058710165,0.5726530458498976,1763.7206460694154,0.6115494746214953,0.36126932481434504,0.027181200564159617,False,False,False
41,submap_004,batch_042_window_049-053,batch_041_window_048-052,needs_review,needs_review,"icp_fitness_too_low, fusion_conflict_ratio_too_high",0.01149090726041303,0.017154984271728752,0.1134982638888889,0.046853241963866143,0.059779541766348476,2.0502102315313664,0.12863333333333332,0.125675,0.7456916666666666,15436,15081,89483,4.700459501686254,1.1634776309510724,3.4340184255641586,4.700459501686254,16.14146453740872,956.2948866396995,0.8124340990271967,0.16420794772769415,0.02335795324510922,False,False,False
42,submap_004,batch_043_window_050-054,batch_042_window_049-053,accepted,needs_review,fusion_conflict_ratio_too_high,0.022761886630557306,0.03201884198236412,0.3727660920449154,0.04283458956841977,0.021812231071434818,0.5013051364812642,0.11455,0.22506666666666666,0.6603833333333333,13746,27008,79246,8.321001396571729,3.2028183016022878,2.944759152728152,8.321001396571729,24.503345022418333,560.9846324011542,0.9501180876864055,0.02516521465179893,0.024716697661795503,False,False,False
