simulated_submap,start_step,end_step,steps,fused_steps,pose_rejected_steps,scale_quarantined_steps,rotation_decision,reason
sim_submap_000,1,10,10,6,4,0,trusted_rotate,quality_window_satisfied
sim_submap_001,11,30,20,1,19,0,detached_or_hold,max_steps_reached_without_reliable_fusion
sim_submap_002,31,44,14,5,9,0,trusted_rotate,quality_window_satisfied
sim_submap_003,45,54,10,8,2,0,trusted_rotate,quality_window_satisfied
sim_submap_004,55,64,10,10,0,0,trusted_rotate,quality_window_satisfied
sim_submap_005,65,84,20,4,11,5,detached_or_hold,max_steps_reached_without_reliable_fusion
sim_submap_006,85,94,10,5,5,0,trusted_rotate,quality_window_satisfied
sim_submap_007,95,104,10,10,0,0,trusted_rotate,quality_window_satisfied
sim_submap_008,105,114,10,7,1,2,trusted_rotate,quality_window_satisfied
sim_submap_009,115,124,10,5,5,0,trusted_rotate,quality_window_satisfied
sim_submap_010,125,141,17,5,11,1,trusted_rotate,quality_window_satisfied
sim_submap_011,142,161,20,3,17,0,detached_or_hold,max_steps_reached_without_reliable_fusion
sim_submap_012,162,181,20,0,18,2,detached_or_hold,max_steps_reached_without_reliable_fusion
sim_submap_013,182,201,20,0,20,0,detached_or_hold,max_steps_reached_without_reliable_fusion
sim_submap_014,202,221,20,0,20,0,detached_or_hold,max_steps_reached_without_reliable_fusion
sim_submap_015,222,234,13,5,8,0,trusted_rotate,quality_window_satisfied
sim_submap_016,235,244,10,7,0,3,trusted_rotate,quality_window_satisfied
sim_submap_017,245,264,20,0,19,1,detached_or_hold,max_steps_reached_without_reliable_fusion
sim_submap_018,265,284,20,0,20,0,detached_or_hold,max_steps_reached_without_reliable_fusion
sim_submap_019,285,304,20,2,10,8,detached_or_hold,max_steps_reached_without_reliable_fusion
sim_submap_020,305,314,10,5,5,0,trusted_rotate,quality_window_satisfied
sim_submap_021,315,315,1,0,1,0,final_open,end_of_sequence
