step,actual_submap,source_id,target_id,pose_status,fusion_status,reasons,committed_fusion,scale_quarantined,target_transform_quality,target_provisional_chain,shared_p90_error,icp_fitness,icp_translation_delta,icp_rotation_delta_deg
1,submap_000,batch_002_window_009-013,batch_001_baseline_004-012,needs_review,needs_review,shared_median_error_too_high;shared_p90_error_too_high;fusion_conflict_ratio_too_high,True,False,fused,0,0.4204944233921451,0.43275689581249105,0.07571006797214769,0.4848694868329416
2,submap_000,batch_003_window_010-014,batch_002_window_009-013,accepted,needs_review,fusion_conflict_ratio_too_high,True,False,fused,0,0.01916417616516846,0.3999011369253584,0.03786511283959834,0.0836251035962361
3,submap_000,batch_004_window_011-015,batch_003_window_010-014,accepted,needs_review,fusion_conflict_ratio_too_high,True,False,fused,0,0.016417413198783388,0.4482904178978472,0.013443759803504835,0.05660064770292597
4,submap_000,batch_005_window_012-016,batch_004_window_011-015,needs_review,needs_review,shared_p90_error_too_high;fusion_conflict_ratio_too_high,True,False,fused,0,0.15218485971260515,0.41159609120521173,0.08769274191161246,0.15509494069905233
5,submap_000,batch_006_window_013-017,batch_005_window_012-016,accepted,needs_review,fusion_conflict_ratio_too_high,True,False,fused,0,0.028719405100800253,0.36534229120815476,0.01341472208066533,0.3510886750086529
6,submap_000,batch_007_window_014-018,batch_006_window_013-017,accepted,needs_review,fusion_conflict_ratio_too_high,True,False,fused,0,0.02618233552946058,0.4158927941695075,0.07338252173008668,0.4032986240089521
7,submap_000,batch_008_window_015-019,batch_007_window_014-018,rejected,rejected,icp_translation_delta_too_large;icp_rejected_by_boundary,False,False,fused,0,0.06769941456720054,0.41206791995148573,0.15399827560302928,1.1276051216462863
8,submap_000,batch_009_window_016-020,batch_008_window_015-019,rejected,rejected,icp_translation_delta_too_large;icp_rejected_by_boundary,False,False,provisional,1,0.024496003787794884,0.4760586769997232,0.2070904375312265,1.7005688218438508
9,submap_000,batch_010_window_017-021,batch_009_window_016-020,rejected,rejected,icp_translation_delta_too_large;icp_rejected_by_boundary,False,False,provisional,2,0.04786864263135404,0.4836836283185841,0.27208675135078886,4.138439900142105
10,submap_000,batch_011_window_018-022,batch_010_window_017-021,rejected,rejected,icp_fitness_too_low;icp_translation_delta_too_large;icp_rejected_by_boundary,False,False,provisional,3,0.03092389668281782,0.26407482119933984,0.16349162785119264,1.1977643630627788
11,submap_001,batch_012_window_019-023,batch_011_window_018-022,rejected,rejected,icp_fitness_too_low;icp_translation_delta_too_large;icp_rejected_by_boundary,False,False,provisional,4,0.013214405690148546,0.24036643885415152,0.17576479926232452,0.8005540413522813
12,submap_001,batch_013_window_020-024,batch_012_window_019-023,rejected,rejected,icp_fitness_too_low;icp_translation_delta_too_large;icp_rejected_by_boundary,False,False,provisional,5,0.02944461945285974,0.14070294784580498,0.19683208116328338,2.212008803811784
13,submap_001,batch_014_window_021-025,batch_013_window_020-024,rejected,rejected,icp_fitness_too_low;icp_translation_delta_too_large;icp_rejected_by_boundary,False,False,provisional,6,0.04051573232914181,0.1255745925616381,0.2355516297145901,2.810482591103526
14,submap_001,batch_015_window_022-026,batch_014_window_021-025,rejected,rejected,icp_fitness_too_low;icp_translation_delta_too_large;icp_rotation_delta_too_large;icp_rejected_by_boundary,False,False,provisional,7,0.10999122563642869,0.09982265011401065,0.5762309883433688,8.369333204579231
15,submap_001,batch_016_window_023-027,batch_015_window_022-026,rejected,rejected,icp_fitness_too_low;icp_translation_delta_too_large;icp_rotation_delta_too_large;icp_rejected_by_boundary,False,False,provisional,8,0.059359883410983666,0.08399323783254738,0.7741875372731176,10.718651649827615
